# This file contains a mapping between Mantis user names
# and github usernames.
#
# First column: Mantis username in OCaml string format.
# Second column: GH username.
#
# Names appearing on this list are susceptible of being assigned migrated
# issues. They must have sufficient permissions to do so and be a subset
# of caml-devel subscribers.

"administrator"               bactrian
"xleroy"                      xavierleroy
# "remy"                        diremy
"doligez"                     damiendoligez
"garrigue"                    garrigue
"frisch"                      alainfrisch
"weis"                        pierreweis
# "mauny"                       mauny
"avsm"                        avsm
"dra"                         dra27
# "fpottier"                    fpottier
"maranget"                    maranget
"Sebastien_Hinderer"          shindere
"yallop"                      yallop
"chambart"                    chambart
"shinwell"                    mshinwell
"lefessan"                    lefessan
# "protz"                       protz
"lpw25"                       lpw25
"gasche"                      gasche
# "hongboz"                     bobzhang
# "jacques-henri.jourdan"       jhjourdan
"def"                         let-def
"stedolan"                    stedolan
"trefis"                      trefis
"damien"                      damiendoligez
"nojb"                        nojb
"octachron"                   Octachron
"shindere"                    shindere
"nojebar"                     nojb
"Armael"                      Armael
"dim"                         diml
# "guesdon"                     zoggy
